 


  
  

NCAA Men's Soccer
Division IPoints Per Game
Through Games 12/12/2022

Goals x 2 + assists must equal points
       
"Rank","Name","Team","Cl","Pos","Games","Goals","Assists","Points","Per Game"
"","Michael Ille","Mercer","Sr.","F","18","7","2","16"
"","Max Keenan","Wisconsin","Jr.","M","16","7","2","16"
"","Conor Kelly","NC State","Sr.","M","17","7","2","16"
"","Beau Leroux","San Jose St.","So.","M","19","7","2","16"
"","Tommy Mihalic","Indiana","So.","F","24","7","2","16"
"","Jose Ortiz","SMU","Jr.","F","14","7","2","16"
"","Antek Sienkiel","St. John's (NY)","Sr.","M","17","7","2","16"
"","Fredrik Skilberg","SMU","Fr.","F","16","7","2","16"
"","Joao Souza","Marshall","Sr.","M","19","7","2","16"
"","CJ Tibbling","Portland","Sr.","F","21","7","2","16"
"","Ben Zakowski","Monmouth","Sr.","F","15","7","2","16"
"","Khaled Abdella","St. Francis Brooklyn","Sr.","F","18","6","4","16"
"","Cameron Arnold","James Madison","Fr.","F","20","6","4","16"
"","Wilmer Cabrera","Butler","Sr.","F","18","6","4","16"
"","Logan Finnegan","IUPUI","Jr.","F","18","6","4","16"
"","Kisa Kiingi","Cornell","Jr.","D","19","6","4","16"
"","Emil Lindgren Pedersen","Milwaukee","Fr.","F","17","6","4","16"
"","Marko Mitrevski","Liberty","Sr.","M","15","6","4","16"
"","Lineker Rodrigues dos Santos","Memphis","So.","F","18","6","4","16"
"","Daniel Russo","Notre Dame","Jr.","F","17","6","4","16"
